date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2024-08-16,0.03314584594,10.73537216,12.65125871,0.0,12.65125871,2024,8,229,0.2262222222222222,0.2340528504668573,-0.007830628244635096,0.03158250251793187,2.52685960830392e-05,-0.06224200913284838
2023-06-12,0.03276799258,11.25983391,7.322648168,0.0,7.322648168,2023,6,163,0.4179194557883278,0.24883765353016069,0.1690818022581671,0.011926773845616127,0.004273710250960612,1.3305175670015654
2023-07-12,0.03265089147,10.82992961,3.08723788,0.0,3.08723788,2023,7,193,0.22033333333333335,0.2635182942565975,-0.043184960923264154,0.0072309499251454095,0.0001674289575924216,-0.3390210983336135
2023-07-31,0.03207677631,13.29927915,0.3701925277,0.0,0.3701925277,2023,7,212,0.15707292209353654,0.26330748478917704,-0.1062345626956405,0.008405281217376477,0.0011805438509297223,-0.834482132577489
2023-09-04,0.0318927538,7.635104116,9.499830008,0.0,9.499830008,2023,9,247,0.16766666666666666,0.25706601293755393,-0.08939934627088728,0.02013105909464792,0.0020505291244223805,-0.7064292244046638
2024-07-21,0.02916322223,18.81064758,0.944751501,0.0,0.944751501,2024,7,203,0.3550598308627286,0.24490025113621328,0.1101595797265153,0.014884774843579541,0.002277610016693771,0.8681545885983522
2023-08-17,0.02906707994,18.07623316,0.0,0.0,0.0,2023,8,229,0.14387783711445187,0.2506747857553903,-0.10679694864093844,0.013797554457554309,0.0019799502210986384,-0.8411900308305047
2024-07-22,0.02880170491,18.97333934,1.474457979,0.0,1.474457979,2024,7,204,0.42508268136016786,0.2431805581144404,0.18190212324572747,0.015067482786400186,0.00628883073031282,1.4336820267848642
2024-09-12,0.0284326511,5.528074519,13.37317228,0.5421303213,12.83104196,2024,9,256,0.18546153846153846,0.26241992797539637,-0.07695838951385792,0.0348059898724346,0.0027077172463154018,-0.6127269350359975
2023-08-24,0.02821320871,6.525160726,0.4071452537,0.0,0.4071452537,2023,8,236,0.15966666666666665,0.2940809195453653,-0.13441425287869865,0.014060559231463767,0.0031978594722254475,-1.0588599272068284
2023-07-25,0.02763369732,13.70729027,0.5053500477,0.0,0.5053500477,2023,7,206,0.15733333333333333,0.2675751496486728,-0.11024181631533947,0.006861546986893563,0.001034574530870604,-0.8652861881226674
2023-08-23,0.02603606963,8.773359553,5.575740175,0.0,5.575740175,2023,8,235,0.15225,0.272926929804454,-0.12067692980445399,0.00843525022131889,0.0015288713170013852,-0.9479425620688391
2023-08-01,0.02550978038,14.51307259,0.002139555988,0.0,0.002139555988,2023,8,213,0.15694453673339065,0.26904716708140664,-0.11210263034801599,0.007412395242868574,0.0011569620019510618,-0.8801358059030314
2024-07-20,0.02530987077,18.45014661,0.2531213237,0.0,0.2531213237,2024,7,202,0.42750966095964216,0.2537521727515267,0.17375748820811548,0.013639206164829583,0.005179301190845632,1.3684972828878184
